,0,1,2,3,4,5
1,,,,,,
2,['AC-6'],['AC-6'],['AC-6'],['AC-6'],['SI-4'],['AC-6']
3,"['CM-6', 'SI-4', 'SI-7']","['CM-6', 'SI-4', 'SI-7']","['CM-6', 'SI-4', 'SI-7']","['CM-6', 'SI-4', 'SI-7']",['SI-4'],"['CM-6', 'SI-4', 'SI-7']"
4,['SI-4'],['SI-4'],['SI-4'],['SI-4'],['SI-4'],['SI-4']
5,"['AC-2', 'AC-5', 'AC-6', 'CA-7', 'SA-10', 'SA-11', 'SA-15', 'SA-16', 'SA-17', 'SA-3', 'SA-4', 'SA-8', 'SC-28', 'SI-4']","['AC-2', 'AC-5', 'AC-6', 'CA-7', 'SA-10', 'SA-11', 'SA-15', 'SA-16', 'SA-17', 'SA-3', 'SA-4', 'SA-8', 'SC-28', 'SI-4']","['AC-2', 'AC-5', 'AC-6', 'CA-7', 'SA-10', 'SA-11', 'SA-15', 'SA-16', 'SA-17', 'SA-3', 'SA-4', 'SA-8', 'SC-28', 'SI-4']","['AC-2', 'AC-5', 'AC-6', 'CA-7', 'SA-10', 'SA-11', 'SA-15', 'SA-16', 'SA-17', 'SA-3', 'SA-4', 'SA-8', 'SC-28', 'SI-4']",['AC-6'],"['AC-2', 'AC-5', 'AC-6', 'CA-7', 'SA-10', 'SA-11', 'SA-15', 'SA-16', 'SA-17', 'SA-3', 'SA-4', 'SA-8', 'SC-28', 'SI-4']"
6,['AC-6'],['AC-6'],['AC-6'],['AC-6'],['SI-4'],['AC-6']
7,['SI-4'],['SI-4'],['SI-4'],['SI-4'],['SI-4'],['SI-4']
8,['SI-4'],['SI-4'],['SI-4'],['SI-4'],['SI-4'],['SI-4']
9,"['AC-2', 'AC-3', 'AC-5', 'AC-6', 'CM-5', 'CM-6', 'IA-2', 'SC-23', 'SC-8', 'SI-7']","['AC-2', 'AC-3', 'AC-5', 'AC-6', 'CM-5', 'CM-6', 'IA-2', 'SC-23', 'SC-8', 'SI-7']","['AC-2', 'AC-3', 'AC-5', 'AC-6', 'CM-5', 'CM-6', 'IA-2', 'SC-23', 'SC-8', 'SI-7']","['AC-2', 'AC-3', 'AC-5', 'AC-6', 'CM-5', 'CM-6', 'IA-2', 'SC-23', 'SC-8', 'SI-7']",['CM-6'],"['AC-2', 'AC-3', 'AC-5', 'AC-6', 'CM-5', 'CM-6', 'IA-2', 'SC-23', 'SC-8', 'SI-7']"
10,"['AC-16', 'AC-17', 'AC-3', 'AC-4', 'CA-7', 'CM-2', 'CM-6', 'CM-7', 'CM-8', 'IA-4', 'SC-28', 'SI-4', 'SI-7']","['AC-16', 'AC-17', 'AC-3', 'AC-4', 'CA-7', 'CM-2', 'CM-6', 'CM-7', 'CM-8', 'IA-4', 'SC-28', 'SI-4', 'SI-7']","['AC-16', 'AC-17', 'AC-3', 'AC-4', 'CA-7', 'CM-2', 'CM-6', 'CM-7', 'CM-8', 'IA-4', 'SC-28', 'SI-4', 'SI-7']","['AC-16', 'AC-17', 'AC-3', 'AC-4', 'CA-7', 'CM-2', 'CM-6', 'CM-7', 'CM-8', 'IA-4', 'SC-28', 'SI-4', 'SI-7']",['SI-4'],"['AC-16', 'AC-17', 'AC-3', 'AC-4', 'CA-7', 'CM-2', 'CM-6', 'CM-7', 'CM-8', 'IA-4', 'SC-28', 'SI-4', 'SI-7']"
11,"['AC-3', 'AC-4', 'CA-7', 'CM-6', 'CM-7', 'SC-7', 'SI-15']","['AC-3', 'AC-4', 'CA-7', 'CM-6', 'CM-7', 'SC-7', 'SI-15']","['AC-3', 'AC-4', 'CA-7', 'CM-6', 'CM-7', 'SC-7', 'SI-15']","['AC-3', 'AC-4', 'CA-7', 'CM-6', 'CM-7', 'SC-7', 'SI-15']","['AC-4', 'CA-7', 'SC-7']","['AC-3', 'AC-4', 'CA-7', 'CM-6', 'CM-7', 'SC-7', 'SI-15']"
12,"['AC-16', 'AC-17', 'AC-20', 'CM-6', 'SI-4']","['AC-16', 'AC-17', 'AC-20', 'CM-6', 'SI-4']","['AC-16', 'AC-17', 'AC-20', 'CM-6', 'SI-4']","['AC-16', 'AC-17', 'AC-20', 'CM-6', 'SI-4']",['SI-4'],"['AC-16', 'AC-17', 'AC-20', 'CM-6', 'SI-4']"
13,,,,,,
14,,,,,,
15,['AC-3'],['AC-3'],['AC-3'],['AC-3'],['AC-3'],['AC-3']
16,,,,,,
17,,,,,,
