,0,1,2,3,4,5
1,,,,,,
2,['Least Privilege'],['Least Privilege'],['Least Privilege'],['Least Privilege'],['System Monitoring'],['Least Privilege']
3,"['Configuration Settings', 'Software, Firmware, and Information Integrity', 'System Monitoring']","['Configuration Settings', 'Software, Firmware, and Information Integrity', 'System Monitoring']","['Configuration Settings', 'Software, Firmware, and Information Integrity', 'System Monitoring']","['Configuration Settings', 'Software, Firmware, and Information Integrity', 'System Monitoring']",['System Monitoring'],"['Configuration Settings', 'Software, Firmware, and Information Integrity', 'System Monitoring']"
4,['System Monitoring'],['System Monitoring'],['System Monitoring'],['System Monitoring'],['System Monitoring'],['System Monitoring']
5,"['Account Management', 'Acquisition Process', 'Continuous Monitoring', 'Developer Configuration Management', 'Developer Security and Privacy Architecture and Design', 'Developer Testing and Evaluation', 'Developer-provided Training', 'Development Process, Standards, and Tools', 'Least Privilege', 'Protection of Information at Rest', 'Security and Privacy Engineering Principles', 'Separation of Duties', 'System Development Life Cycle', 'System Monitoring']","['Account Management', 'Acquisition Process', 'Continuous Monitoring', 'Developer Configuration Management', 'Developer Security and Privacy Architecture and Design', 'Developer Testing and Evaluation', 'Developer-provided Training', 'Development Process, Standards, and Tools', 'Least Privilege', 'Protection of Information at Rest', 'Security and Privacy Engineering Principles', 'Separation of Duties', 'System Development Life Cycle', 'System Monitoring']","['Account Management', 'Acquisition Process', 'Continuous Monitoring', 'Developer Configuration Management', 'Developer Security and Privacy Architecture and Design', 'Developer Testing and Evaluation', 'Developer-provided Training', 'Development Process, Standards, and Tools', 'Least Privilege', 'Protection of Information at Rest', 'Security and Privacy Engineering Principles', 'Separation of Duties', 'System Development Life Cycle', 'System Monitoring']","['Account Management', 'Acquisition Process', 'Continuous Monitoring', 'Developer Configuration Management', 'Developer Security and Privacy Architecture and Design', 'Developer Testing and Evaluation', 'Developer-provided Training', 'Development Process, Standards, and Tools', 'Least Privilege', 'Protection of Information at Rest', 'Security and Privacy Engineering Principles', 'Separation of Duties', 'System Development Life Cycle', 'System Monitoring']",['Least Privilege'],"['Account Management', 'Acquisition Process', 'Continuous Monitoring', 'Developer Configuration Management', 'Developer Security and Privacy Architecture and Design', 'Developer Testing and Evaluation', 'Developer-provided Training', 'Development Process, Standards, and Tools', 'Least Privilege', 'Protection of Information at Rest', 'Security and Privacy Engineering Principles', 'Separation of Duties', 'System Development Life Cycle', 'System Monitoring']"
6,['Least Privilege'],['Least Privilege'],['Least Privilege'],['Least Privilege'],['Least Privilege'],['Least Privilege']
7,['System Monitoring'],['System Monitoring'],['System Monitoring'],['System Monitoring'],['System Monitoring'],['System Monitoring']
8,['System Monitoring'],['System Monitoring'],['System Monitoring'],['System Monitoring'],['System Monitoring'],['System Monitoring']
9,"['Session Authenticity', 'Software, Firmware, and Information Integrity', 'Transmission Confidentiality and Integrity']","['Session Authenticity', 'Software, Firmware, and Information Integrity', 'Transmission Confidentiality and Integrity']","['Session Authenticity', 'Software, Firmware, and Information Integrity', 'Transmission Confidentiality and Integrity']","['Session Authenticity', 'Software, Firmware, and Information Integrity', 'Transmission Confidentiality and Integrity']",['Configuration Settings'],"['Session Authenticity', 'Software, Firmware, and Information Integrity', 'Transmission Confidentiality and Integrity']"
10,"['Access Enforcement', 'Baseline Configuration', 'Configuration Settings', 'Continuous Monitoring', 'Identifier Management', 'Information Flow Enforcement', 'Least Functionality', 'Protection of Information at Rest', 'Remote Access', 'Security and Privacy Attributes', 'Software, Firmware, and Information Integrity', 'System Component Inventory', 'System Monitoring']","['Access Enforcement', 'Baseline Configuration', 'Configuration Settings', 'Continuous Monitoring', 'Identifier Management', 'Information Flow Enforcement', 'Least Functionality', 'Protection of Information at Rest', 'Remote Access', 'Security and Privacy Attributes', 'Software, Firmware, and Information Integrity', 'System Component Inventory', 'System Monitoring']","['Access Enforcement', 'Baseline Configuration', 'Configuration Settings', 'Continuous Monitoring', 'Identifier Management', 'Information Flow Enforcement', 'Least Functionality', 'Protection of Information at Rest', 'Remote Access', 'Security and Privacy Attributes', 'Software, Firmware, and Information Integrity', 'System Component Inventory', 'System Monitoring']","['Access Enforcement', 'Baseline Configuration', 'Configuration Settings', 'Continuous Monitoring', 'Identifier Management', 'Information Flow Enforcement', 'Least Functionality', 'Protection of Information at Rest', 'Remote Access', 'Security and Privacy Attributes', 'Software, Firmware, and Information Integrity', 'System Component Inventory', 'System Monitoring']",['System Monitoring'],"['Access Enforcement', 'Baseline Configuration', 'Configuration Settings', 'Continuous Monitoring', 'Identifier Management', 'Information Flow Enforcement', 'Least Functionality', 'Protection of Information at Rest', 'Remote Access', 'Security and Privacy Attributes', 'Software, Firmware, and Information Integrity', 'System Component Inventory', 'System Monitoring']"
