,0,1,2,3,4,5
1,,,,,,
2,"['4624', '4778', '4964', 'LogonSuccess']","['4624', '4778', '4964', 'LogonSuccess']","['4624', '4778', '4964', 'LogonSuccess']","['4624', '4778', '4964', 'LogonSuccess']","['4624', '4778', '4964', 'LogonSuccess']","['4624', '4778', '4964', 'LogonSuccess']"
3,"['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']"
4,"['4624', '4778', '4964', 'LogonSuccess']","['4624', '4778', '4964', 'LogonSuccess']","['4624', '4778', '4964', 'LogonSuccess']","['4624', '4778', '4964', 'LogonSuccess']","['1', '4688', '8', 'CreateRemoteThreadApiCall', 'ProcessCreated']","['4624', '4778', '4964', 'LogonSuccess']"
5,"['4624', '4625', '4648', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']","['4624', '4625', '4648', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']","['4624', '4625', '4648', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']","['4624', '4625', '4648', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']","['4624', '4625', '4648', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']","['4624', '4625', '4648', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']"
6,['4670'],['4670'],['4670'],['4670'],['4670'],['4670']
7,"['4624', 'LogonSuccess']","['4624', 'LogonSuccess']","['4624', 'LogonSuccess']","['4624', 'LogonSuccess']","['4624', 'LogonSuccess']","['4624', 'LogonSuccess']"
8,"['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']","['1', '4103', '4688', 'ProcessCreated']"
9,"['4624', '4625', '4648', '4768', '4769', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']","['4624', '4625', '4648', '4768', '4769', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']","['4624', '4625', '4648', '4768', '4769', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']","['4624', '4625', '4648', '4768', '4769', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']",['LogonSuccess'],"['4624', '4625', '4648', '4768', '4769', '4778', '4964', 'ConsoleLogin', 'LogonSuccess']"
10,"['1', '11', '3', '4688', '5031', '5154', '5155', '5156', '5157', '5158', '5159', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'ProcessCreated']","['1', '11', '3', '4688', '5031', '5154', '5155', '5156', '5157', '5158', '5159', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'ProcessCreated']","['1', '11', '3', '4688', '5031', '5154', '5155', '5156', '5157', '5158', '5159', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'ProcessCreated']","['1', '11', '3', '4688', '5031', '5154', '5155', '5156', '5157', '5158', '5159', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'ProcessCreated']","['1', '11', '3', '4624', '4688', '4778', '4964', '5031', '5154', '5155', '5156', '5157', '5158', '5159', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'LogonSuccess', 'ProcessCreated']","['1', '11', '3', '4688', '5031', '5154', '5155', '5156', '5157', '5158', '5159', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'ProcessCreated']"
