,0,1,2,3,4,5
1,,,,,,
2,"['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']"
3,"['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']"
4,"['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A new process has been created.', 'CreateRemoteThread.', 'CreateRemoteThreadApiCall', 'Process Creation.', 'ProcessCreated']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']"
5,"['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']"
6,['Permissions on an object were changed.'],['Permissions on an object were changed.'],['Permissions on an object were changed.'],['Permissions on an object were changed.'],['Permissions on an object were changed.'],['Permissions on an object were changed.']
7,"['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']"
8,"['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']"
9,"['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']",['LogonSuccess'],"['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']"
10,"['A new process has been created.', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FileCreate.', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'Network connection.', 'Process Creation.', 'ProcessCreated', 'The Windows Filtering Platform has blocked a bind to a local port.', 'The Windows Filtering Platform has blocked a connection.', 'The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.', 'The Windows Filtering Platform has permitted a bind to a local port.', 'The Windows Filtering Platform has permitted a connection.', 'The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.', 'The Windows Firewall Service blocked an application from accepting incoming connections on the network.']","['A new process has been created.', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FileCreate.', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'Network connection.', 'Process Creation.', 'ProcessCreated', 'The Windows Filtering Platform has blocked a bind to a local port.', 'The Windows Filtering Platform has blocked a connection.', 'The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.', 'The Windows Filtering Platform has permitted a bind to a local port.', 'The Windows Filtering Platform has permitted a connection.', 'The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.', 'The Windows Firewall Service blocked an application from accepting incoming connections on the network.']","['A new process has been created.', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FileCreate.', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'Network connection.', 'Process Creation.', 'ProcessCreated', 'The Windows Filtering Platform has blocked a bind to a local port.', 'The Windows Filtering Platform has blocked a connection.', 'The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.', 'The Windows Filtering Platform has permitted a bind to a local port.', 'The Windows Filtering Platform has permitted a connection.', 'The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.', 'The Windows Firewall Service blocked an application from accepting incoming connections on the network.']","['A new process has been created.', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FileCreate.', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'Network connection.', 'Process Creation.', 'ProcessCreated', 'The Windows Filtering Platform has blocked a bind to a local port.', 'The Windows Filtering Platform has blocked a connection.', 'The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.', 'The Windows Filtering Platform has permitted a bind to a local port.', 'The Windows Filtering Platform has permitted a connection.', 'The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.', 'The Windows Firewall Service blocked an application from accepting incoming connections on the network.']","['A new process has been created.', 'A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FileCreate.', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'LogonSuccess', 'Network connection.', 'Process Creation.', 'ProcessCreated', 'Special groups have been assigned to a new logon.', 'The Windows Filtering Platform has blocked a bind to a local port.', 'The Windows Filtering Platform has blocked a connection.', 'The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.', 'The Windows Filtering Platform has permitted a bind to a local port.', 'The Windows Filtering Platform has permitted a connection.', 'The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.', 'The Windows Firewall Service blocked an application from accepting incoming connections on the network.']","['A new process has been created.', 'ConnectionAttempt', 'ConnectionRequest', 'ConnectionSuccess', 'DeviceFileEvents', 'FileCreate.', 'FirewallInboundConnectionBlocked', 'FirewallInboundConnectionToAppBlocked', 'FirewallOutboundConnectionBlocked', 'InboundConnectionAccepted', 'ListeningConnectionCreated', 'Network connection.', 'Process Creation.', 'ProcessCreated', 'The Windows Filtering Platform has blocked a bind to a local port.', 'The Windows Filtering Platform has blocked a connection.', 'The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.', 'The Windows Filtering Platform has permitted a bind to a local port.', 'The Windows Filtering Platform has permitted a connection.', 'The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.', 'The Windows Firewall Service blocked an application from accepting incoming connections on the network.']"
