,0,1,2,3,4,5
1,,,,,,
2,"['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']"
3,"['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']"
4,"['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['CreateRemoteThread.', 'CreateRemoteThreadApiCall']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']"
5,"['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['CreateRemoteThread.', 'CreateRemoteThreadApiCall']","['A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']"
6,"['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A new process has been created.', 'Process Creation.', 'ProcessCreated']","['A session was reconnected to a Window Station.', 'An account was successfully logged on.', 'LogonSuccess', 'Special groups have been assigned to a new logon.']"
7,"['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']","['An account was successfully logged on.', 'LogonSuccess']"
8,"['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'Module logging.', 'Process Creation.', 'ProcessCreated']"
9,"['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']","['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']",['LogonSuccess'],"['A Kerberos authentication ticket (TGT) was requested.', 'A Kerberos service ticket was requested.', 'A logon was attempted using explicit credentials.', 'A session was reconnected to a Window Station.', 'An account failed to log on.', 'An account was successfully logged on.', 'ConsoleLogin', 'LogonSuccess', 'Special groups have been assigned to a new logon.']"
10,"['A new process has been created.', 'DeviceFileEvents', 'FileCreate.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'DeviceFileEvents', 'FileCreate.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'DeviceFileEvents', 'FileCreate.', 'Process Creation.', 'ProcessCreated']","['A new process has been created.', 'DeviceFileEvents', 'FileCreate.', 'Process Creation.', 'ProcessCreated']",['Module logging.'],"['A new process has been created.', 'DeviceFileEvents', 'FileCreate.', 'Process Creation.', 'ProcessCreated']"
