,0,1,2,3,4,5
1,,,,,,
2,"['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']",['Microsoft Defender for Endpoint'],"['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']"
3,"['Linux-Sysmon', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-PowerShell', 'Microsoft-Windows-Security-Auditing', 'Microsoft-Windows-Sysmon']","['Linux-Sysmon', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-PowerShell', 'Microsoft-Windows-Security-Auditing', 'Microsoft-Windows-Sysmon']","['Linux-Sysmon', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-PowerShell', 'Microsoft-Windows-Security-Auditing', 'Microsoft-Windows-Sysmon']","['Linux-Sysmon', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-PowerShell', 'Microsoft-Windows-Security-Auditing', 'Microsoft-Windows-Sysmon']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Sysmon']","['Linux-Sysmon', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-PowerShell', 'Microsoft-Windows-Security-Auditing', 'Microsoft-Windows-Sysmon']"
4,"['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']",['Microsoft Defender for Endpoint'],"['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']"
5,"['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']",['Microsoft Defender for Endpoint'],"['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']"
6,['CloudTrail'],['CloudTrail'],['CloudTrail'],['CloudTrail'],['Microsoft-Windows-Security-Auditing'],['CloudTrail']
7,"['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']",['Microsoft-Windows-Security-Auditing'],"['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']"
8,"['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']"
9,"['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['CloudTrail', 'Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']"
10,"['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']","['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']",['Microsoft Defender for Endpoint'],"['Microsoft Defender for Endpoint', 'Microsoft-Windows-Security-Auditing']"
