,0,1,2,3,4,5
1,,,,,,
2,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
3,"['Command and Scripting Interpreter', 'Malicious Image', 'Network Device CLI', 'User Execution']","['Command and Scripting Interpreter', 'Malicious Image', 'Network Device CLI', 'User Execution']","['Command and Scripting Interpreter', 'Malicious Image', 'Network Device CLI', 'User Execution']","['Command and Scripting Interpreter', 'Malicious Image', 'Network Device CLI', 'User Execution']","['Command and Scripting Interpreter', 'Malicious Image', 'Network Device CLI', 'User Execution']","['Command and Scripting Interpreter', 'Malicious Image', 'Network Device CLI', 'User Execution']"
4,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
5,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
6,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
7,['Credentials In Files'],['Credentials In Files'],['Credentials In Files'],['Credentials In Files'],['Credentials In Files'],['Credentials In Files']
8,"['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Infrastructure Discovery', 'Cloud Service Dashboard', 'Cloud Service Discovery', 'Cloud Storage Object Discovery', 'Network Service Scanning', 'Network Sniffing', 'Password Policy Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery', 'System Information Discovery', 'System Location Discovery', 'System Network Connections Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Infrastructure Discovery', 'Cloud Service Dashboard', 'Cloud Service Discovery', 'Cloud Storage Object Discovery', 'Network Service Scanning', 'Network Sniffing', 'Password Policy Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery', 'System Information Discovery', 'System Location Discovery', 'System Network Connections Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Infrastructure Discovery', 'Cloud Service Dashboard', 'Cloud Service Discovery', 'Cloud Storage Object Discovery', 'Network Service Scanning', 'Network Sniffing', 'Password Policy Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery', 'System Information Discovery', 'System Location Discovery', 'System Network Connections Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Infrastructure Discovery', 'Cloud Service Dashboard', 'Cloud Service Discovery', 'Cloud Storage Object Discovery', 'Network Service Scanning', 'Network Sniffing', 'Password Policy Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery', 'System Information Discovery', 'System Location Discovery', 'System Network Connections Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Infrastructure Discovery', 'Cloud Service Dashboard', 'Cloud Service Discovery', 'Cloud Storage Object Discovery', 'Network Service Scanning', 'Network Sniffing', 'Password Policy Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery', 'System Information Discovery', 'System Location Discovery', 'System Network Connections Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Infrastructure Discovery', 'Cloud Service Dashboard', 'Cloud Service Discovery', 'Cloud Storage Object Discovery', 'Network Service Scanning', 'Network Sniffing', 'Password Policy Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery', 'System Information Discovery', 'System Location Discovery', 'System Network Connections Discovery']"
9,"['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Application Access Token', 'Internal Spearphishing', 'Taint Shared Content', 'Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']"
10,"['Data Staged', 'Data from Cloud Storage Object', 'Data from Configuration Repository', 'Data from Information Repositories', 'Input Capture', 'Keylogging', 'Network Device Configuration Dump', 'Remote Data Staging', 'SNMP (MIB Dump)']","['Data Staged', 'Data from Cloud Storage Object', 'Data from Configuration Repository', 'Data from Information Repositories', 'Input Capture', 'Keylogging', 'Network Device Configuration Dump', 'Remote Data Staging', 'SNMP (MIB Dump)']","['Data Staged', 'Data from Cloud Storage Object', 'Data from Configuration Repository', 'Data from Information Repositories', 'Input Capture', 'Keylogging', 'Network Device Configuration Dump', 'Remote Data Staging', 'SNMP (MIB Dump)']","['Data Staged', 'Data from Cloud Storage Object', 'Data from Configuration Repository', 'Data from Information Repositories', 'Input Capture', 'Keylogging', 'Network Device Configuration Dump', 'Remote Data Staging', 'SNMP (MIB Dump)']","['Code Repositories', 'Confluence', 'Data Staged', 'Data from Cloud Storage Object', 'Data from Configuration Repository', 'Data from Information Repositories', 'Input Capture', 'Keylogging', 'Network Device Configuration Dump', 'Remote Data Staging', 'SNMP (MIB Dump)']","['Data Staged', 'Data from Cloud Storage Object', 'Data from Configuration Repository', 'Data from Information Repositories', 'Input Capture', 'Keylogging', 'Network Device Configuration Dump', 'Remote Data Staging', 'SNMP (MIB Dump)']"
