,0,1,2,3,4,5
1,,,,,,
2,"['Cloud Accounts', 'Default Accounts', 'Trusted Relationship', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Trusted Relationship', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Trusted Relationship', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Trusted Relationship', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Trusted Relationship', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Trusted Relationship', 'Valid Accounts']"
3,['User Execution'],['User Execution'],['User Execution'],['User Execution'],['User Execution'],['User Execution']
4,['Valid Accounts'],['Valid Accounts'],['Valid Accounts'],['Valid Accounts'],"['Cloud Accounts', 'Default Accounts', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Valid Accounts']"
5,"['Cloud Accounts', 'Default Accounts', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Valid Accounts']","['Cloud Accounts', 'Default Accounts', 'Valid Accounts']"
6,"['Cloud Accounts', 'Default Accounts', 'Use Alternate Authentication Material', 'Valid Accounts', 'Web Session Cookie']","['Cloud Accounts', 'Default Accounts', 'Use Alternate Authentication Material', 'Valid Accounts', 'Web Session Cookie']","['Cloud Accounts', 'Default Accounts', 'Use Alternate Authentication Material', 'Valid Accounts', 'Web Session Cookie']","['Cloud Accounts', 'Default Accounts', 'Use Alternate Authentication Material', 'Valid Accounts', 'Web Session Cookie']","['Cloud Accounts', 'Default Accounts', 'Use Alternate Authentication Material', 'Valid Accounts', 'Web Session Cookie']","['Cloud Accounts', 'Default Accounts', 'Use Alternate Authentication Material', 'Valid Accounts', 'Web Session Cookie']"
7,"['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']"
8,"['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']"
9,"['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']"
10,['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories']
