,0,1,2,3,4,5
1,,,,,,
2,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
3,['Native API'],['Native API'],['Native API'],['User Execution'],"['Malicious Image', 'User Execution']","['Malicious Image', 'User Execution']"
4,['Valid Accounts'],['Valid Accounts'],['Valid Accounts'],['Valid Accounts'],['Default Accounts'],['Default Accounts']
5,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
6,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
7,"['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']","['Brute Force', 'Credential Stuffing', 'Forge Web Credentials', 'Password Guessing', 'Password Spraying', 'SAML Tokens', 'Unsecured Credentials', 'Web Cookies']"
8,"['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']"
9,"['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']","['Use Alternate Authentication Material', 'Web Session Cookie']"
10,['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories']
11,['Commonly Used Port'],['Commonly Used Port'],"['Commonly Used Port', 'Standard Application Layer Protocol']","['Commonly Used Port', 'Standard Application Layer Protocol']","['Multi-hop Proxy', 'Non-Application Layer Protocol', 'Port Knocking', 'Proxy', 'Traffic Signaling']","['Multi-hop Proxy', 'Non-Application Layer Protocol', 'Port Knocking', 'Proxy', 'Traffic Signaling']"
12,['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account']
13,['Modify Alarm Settings'],['Modify Alarm Settings'],"['Modify Alarm Settings', 'Service Stop']","['Modify Alarm Settings', 'Service Stop']",['Modify Alarm Settings'],['Modify Alarm Settings']
14,['Modify Parameter'],['Modify Parameter'],['Modify Parameter'],['Modify Parameter'],,
15,"['Application Exhaustion Flood', 'Application or System Exploitation', 'Direct Network Flood', 'Endpoint Denial of Service', 'Network Denial of Service', 'Reflection Amplification', 'Service Exhaustion Flood']","['Application Exhaustion Flood', 'Application or System Exploitation', 'Direct Network Flood', 'Endpoint Denial of Service', 'Network Denial of Service', 'Reflection Amplification', 'Service Exhaustion Flood']","['Application Exhaustion Flood', 'Application or System Exploitation', 'Direct Network Flood', 'Endpoint Denial of Service', 'Network Denial of Service', 'Reflection Amplification', 'Service Exhaustion Flood']","['Application Exhaustion Flood', 'Application or System Exploitation', 'Direct Network Flood', 'Endpoint Denial of Service', 'Network Denial of Service', 'Reflection Amplification', 'Service Exhaustion Flood']","['Application Exhaustion Flood', 'Application or System Exploitation', 'Direct Network Flood', 'Endpoint Denial of Service', 'Network Denial of Service', 'Reflection Amplification', 'Service Exhaustion Flood']","['Application Exhaustion Flood', 'Application or System Exploitation', 'Direct Network Flood', 'Endpoint Denial of Service', 'Network Denial of Service', 'Reflection Amplification', 'Service Exhaustion Flood']"
16,,,,,,
17,,,,,,
