,0,1,2,3,4,5
1,,,,,,
2,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
3,['Native API'],['Native API'],['Native API'],['User Execution'],['User Execution'],['User Execution']
4,['Valid Accounts'],['Valid Accounts'],['Valid Accounts'],['Valid Accounts'],['Default Accounts'],['Default Accounts']
5,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
6,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
7,"['Credential Stuffing', 'Password Guessing', 'Password Spraying']","['Credential Stuffing', 'Password Guessing', 'Password Spraying']","['Credential Stuffing', 'Password Guessing', 'Password Spraying']","['Credential Stuffing', 'Password Guessing', 'Password Spraying']","['Credential Stuffing', 'Password Guessing', 'Password Spraying']","['Credential Stuffing', 'Password Guessing', 'Password Spraying']"
8,"['Account Discovery', 'Permission Groups Discovery']","['Account Discovery', 'Permission Groups Discovery']","['Account Discovery', 'Permission Groups Discovery']","['Account Discovery', 'Permission Groups Discovery']","['Account Discovery', 'Permission Groups Discovery']","['Account Discovery', 'Permission Groups Discovery']"
9,['Web Session Cookie'],['Web Session Cookie'],['Web Session Cookie'],['Web Session Cookie'],['Web Session Cookie'],['Web Session Cookie']
10,['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories']
11,['Commonly Used Port'],['Commonly Used Port'],['Commonly Used Port'],['Commonly Used Port'],"['Multi-hop Proxy', 'Non-Application Layer Protocol', 'Port Knocking', 'Proxy', 'Traffic Signaling']","['Multi-hop Proxy', 'Non-Application Layer Protocol', 'Port Knocking', 'Proxy', 'Traffic Signaling']"
12,['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account']
13,['Modify Alarm Settings'],['Modify Alarm Settings'],['Modify Alarm Settings'],['Modify Alarm Settings'],['Modify Alarm Settings'],['Modify Alarm Settings']
14,['Modify Parameter'],['Modify Parameter'],['Modify Parameter'],['Modify Parameter'],,
15,['Application or System Exploitation'],['Application or System Exploitation'],['Application or System Exploitation'],['Application or System Exploitation'],['Application or System Exploitation'],['Application or System Exploitation']
16,,,,,,
17,,,,,,
