,0,1,2,3,4,5
1,,,,,,
2,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
3,['User Execution'],['User Execution'],['User Execution'],['User Execution'],['User Execution'],['User Execution']
4,['Valid Accounts'],['Valid Accounts'],['Valid Accounts'],['Valid Accounts'],['Default Accounts'],['Default Accounts']
5,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
6,['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts'],['Default Accounts']
7,['Brute Force'],['Brute Force'],['Brute Force'],['Brute Force'],['Brute Force'],['Brute Force']
8,"['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']","['Account Discovery', 'Cloud Account', 'Cloud Groups', 'Cloud Service Discovery', 'Permission Groups Discovery', 'Security Software Discovery', 'Software Discovery']"
9,['Web Session Cookie'],['Web Session Cookie'],['Web Session Cookie'],['Web Session Cookie'],['Web Session Cookie'],['Web Session Cookie']
10,['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories'],['Data from Information Repositories']
11,['Commonly Used Port'],['Commonly Used Port'],['Commonly Used Port'],['Commonly Used Port'],"['Multi-hop Proxy', 'Non-Application Layer Protocol', 'Port Knocking', 'Proxy', 'Traffic Signaling']","['Multi-hop Proxy', 'Non-Application Layer Protocol', 'Port Knocking', 'Proxy', 'Traffic Signaling']"
12,['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account'],['Transfer Data to Cloud Account']
13,['Modify Alarm Settings'],['Modify Alarm Settings'],['Service Stop'],['Service Stop'],['Modify Alarm Settings'],['Modify Alarm Settings']
14,['Modify Parameter'],['Modify Parameter'],['Modify Parameter'],['Modify Parameter'],,
15,"['Application Exhaustion Flood', 'Direct Network Flood']","['Application Exhaustion Flood', 'Direct Network Flood']","['Application Exhaustion Flood', 'Direct Network Flood']","['Application Exhaustion Flood', 'Direct Network Flood']","['Application Exhaustion Flood', 'Direct Network Flood']","['Application Exhaustion Flood', 'Direct Network Flood']"
16,,,,,,
17,,,,,,
